Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2020;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;1066
01.01.2015;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1066
01.01.2016;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1068
01.01.2013;102;Weiach;4;Dielsdorf;111;Zürcher Unterland;1074
01.01.2016;12;Rifferswil;1;Affoltern;105;Knonaueramt;1075
01.01.2012;102;Weiach;4;Dielsdorf;111;Zürcher Unterland;1076
01.01.2019;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1079
01.01.2011;241;Aesch;11;Winterthur;104;Limmattal;1083
01.01.2018;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1083
01.01.2013;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1084
01.01.2014;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1091
01.01.2011;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1093
01.01.2016;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1093
01.01.2013;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1094
01.01.2020;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1095
01.01.2017;12;Rifferswil;1;Affoltern;105;Knonaueramt;1096
01.01.2010;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1097
01.01.2020;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1097
01.01.2019;65;Oberembrach;3;Bülach;111;Zürcher Unterland;1101
01.01.2012;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1104
01.01.2017;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1105
01.01.2015;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1107
01.01.2016;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1110
01.01.2014;220;Hagenbuch;10;Uster;109;Winterthur und Umgebung;1112
01.01.2018;12;Rifferswil;1;Affoltern;105;Knonaueramt;1122
01.01.2017;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1124
01.01.2019;12;Rifferswil;1;Affoltern;105;Knonaueramt;1129
01.01.2020;12;Rifferswil;1;Affoltern;105;Knonaueramt;1149
01.01.2014;102;Weiach;4;Dielsdorf;111;Zürcher Unterland;1153
01.01.2012;241;Aesch;11;Winterthur;104;Limmattal;1158
01.01.2018;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1158
01.01.2014;241;Aesch;11;Winterthur;104;Limmattal;1182
01.01.2013;241;Aesch;11;Winterthur;104;Limmattal;1183
01.01.2015;241;Aesch;11;Winterthur;104;Limmattal;1198
01.01.2019;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1221
01.01.2010;28;Flaach;2;Andelfingen;110;Weinland;1223
01.01.2020;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;1244
01.01.2011;28;Flaach;2;Andelfingen;110;Weinland;1247
01.01.2016;241;Aesch;11;Winterthur;104;Limmattal;1269
01.01.2012;82;Boppelsen;4;Dielsdorf;103;Furttal;1274
01.01.2014;82;Boppelsen;4;Dielsdorf;103;Furttal;1280
01.01.2010;71;Wil;3;Bülach;111;Zürcher Unterland;1281
01.01.2010;82;Boppelsen;4;Dielsdorf;103;Furttal;1286
01.01.2011;82;Boppelsen;4;Dielsdorf;103;Furttal;1286
01.01.2020;38;Rheinau;2;Andelfingen;110;Weinland;1291
01.01.2010;119;Seegräben;5;Dietikon;108;Zürcher Oberland;1296
01.01.2011;71;Wil;3;Bülach;111;Zürcher Unterland;1296
01.01.2017;38;Rheinau;2;Andelfingen;110;Weinland;1298
01.01.2011;119;Seegräben;5;Dietikon;108;Zürcher Oberland;1298
